t	I
0	2166.654
1	2188.382
2	2175.635
3	2209.029
4	2190.949
5	2183.090
6	2178.347
7	2215.472
8	2173.069
9	2183.832
10	2178.565
11	2154.771
12	2156.726
13	2173.938
14	2156.285
15	2170.125
16	2139.998
17	2155.502
18	2167.091
19	2189.338
20	2152.736
21	2186.106
22	2181.509
23	2180.414
24	2161.946
25	2149.035
26	2144.918
27	2148.976
28	2118.514
29	2059.168
30	2053.288
31	2031.290
32	2035.490
33	2027.349
34	2052.058
35	2070.491
36	2107.909
37	2312.341
38	2480.653
39	2446.550
40	2266.824
41	2156.558
42	2186.998
43	2218.171
44	2170.858
45	2127.691
46	2084.173
47	2053.032
48	2086.755
49	2085.501
50	2091.352
51	2122.187
52	2167.912
53	2426.528
54	2677.557
55	2646.661
56	2424.371
57	2347.782
58	2308.826
59	2300.754
60	2229.034
61	2169.429
62	2137.130
63	2097.762
64	2101.574
65	2121.928
66	2150.230
67	2177.925
68	2211.248
69	2436.792
70	2756.037
71	2761.627
72	2558.683
73	2428.997
74	2410.661
75	2405.645
76	2358.006
77	2274.330
78	2218.237
79	2209.298
80	2220.395
81	2225.251
82	2244.126
83	2263.437
84	2298.720
85	2540.954
86	2899.835
87	2958.488
88	2794.050
89	2584.583
90	2576.470
91	2550.763
92	2477.874
93	2410.629
94	2308.656
95	2310.880
96	2334.264
97	2345.850
98	2376.488
99	2392.122
100	2484.683
101	2654.501
102	3043.571
103	3136.547
104	2950.271
105	2723.218
106	2685.382
107	2684.683
108	2707.421
109	2725.690
110	2737.245
111	2729.765
112	2733.907
113	2759.126
114	2752.789
115	2764.259
116	2801.880
117	2797.824
118	2808.389
119	2820.622
120	2838.266
121	2841.120
122	2857.163
123	2861.899
124	2922.309
125	2910.960
126	2918.574
127	2916.280
